episode,reward,loss,hit_pct,avg_delay_s,epsilon
1,-34387.3063,1662.00793263,62.6000,0.022210,0.997000
2,-36751.2709,1446.05820973,59.7000,0.022417,0.994009
3,-35783.5012,1490.80590285,60.4000,0.020397,0.991027
4,-36806.8379,1521.29070075,59.2000,0.020710,0.988054
5,-38130.3174,1529.95278848,58.0000,0.022517,0.985090
6,-33776.2512,1500.75869231,63.1000,0.021160,0.982134
7,-39214.7864,1480.47991023,56.8000,0.023158,0.979188
8,-40067.8137,1498.52139115,55.8000,0.023414,0.976250
9,-37894.7063,1501.85717932,58.1000,0.021742,0.973322
10,-40518.3111,1480.73431371,55.3000,0.023654,0.970402
11,-38465.2683,1431.95746557,57.5000,0.022192,0.967491
12,-39921.2849,1768.59565947,55.7000,0.022276,0.964588
13,-37039.1783,1732.17457873,59.0000,0.021063,0.961694
14,-38895.2654,1691.16550167,56.9000,0.021947,0.958809
15,-35169.8156,1678.82302519,61.5000,0.021705,0.955933
16,-39779.4955,1680.57323156,55.9000,0.022382,0.953065
17,-36705.1138,1649.15379314,59.5000,0.021389,0.950206
18,-39453.3912,1656.59670738,56.2000,0.021933,0.947355
19,-39453.5946,1663.15073345,56.6000,0.023535,0.944513
20,-38343.1453,1637.81579386,57.5000,0.021576,0.941680
21,-36161.3025,1593.54639156,60.2000,0.021480,0.938855
22,-35336.8046,1865.75275453,60.9000,0.020151,0.936038
23,-36818.5770,1889.18072721,59.3000,0.021163,0.933230
24,-38179.6350,1836.06728296,57.7000,0.021570,0.930430
25,-37862.2536,1840.82828219,58.0000,0.021182,0.927639
26,-38241.7326,1831.44024244,57.6000,0.021479,0.924856
27,-34542.7905,1747.94049972,62.0000,0.020575,0.922081
28,-35567.2510,1786.23189652,60.8000,0.020910,0.919315
29,-37799.3762,1742.48721098,58.2000,0.021663,0.916557
30,-35881.7117,1734.98079123,60.6000,0.021684,0.913808
31,-36345.0839,1694.05796529,59.7000,0.020390,0.911066
32,-36020.6879,1943.48471172,60.5000,0.021961,0.908333
33,-36089.6754,1920.62079543,60.5000,0.022305,0.905608
34,-37929.0948,1840.16108615,58.0000,0.021503,0.902891
