taskId,ownerDeviceId,arrivalTime,taskType,dataSizeKb,workload,quantumSuitability,deadline,priority,memoryMb,energyLocalEst
1,10,0.2252,molecular_sim,54.94,15.2039,1.0,0.2446,3,352.8,0.126699
2,9,0.444,tsp,431.71,26.3273,0.9988,0.4773,1,358.5,0.219395
3,14,0.6673,knapsack,340.62,19.5564,0.9233,0.6858,5,143.6,0.16297
4,8,0.6935,sensor_data,316.48,14.388,0.1064,0.7036,2,501.0,0.1199
5,2,0.7016,molecular_sim,438.8,22.1357,0.9997,0.7306,3,255.1,0.184464
6,14,0.8377,control_signal,319.78,3.2555,0.1195,0.847,2,162.8,0.027129
7,1,0.9697,aggregation,375.05,23.4775,0.3309,0.9992,4,402.3,0.195646
8,7,1.2623,image_processing,136.33,34.4136,0.053,1.2767,3,239.4,0.28678
9,2,1.2697,maxcut,13.68,50.8028,0.9726,1.2848,2,418.5,0.423357
10,12,1.3678,knapsack,499.32,40.5221,0.9077,1.3895,1,121.1,0.337684
11,3,1.3744,image_processing,44.12,57.1801,0.0383,1.4039,1,415.3,0.476501
12,4,1.4763,aggregation,96.41,18.2691,0.322,1.5027,2,305.1,0.152242
13,10,1.6385,image_processing,499.72,61.1698,0.0536,1.6683,2,94.0,0.509748
14,10,1.6747,alert,35.2,2.5916,0.1226,1.6821,3,213.2,0.021597
15,2,1.7901,sensor_data,167.56,12.8176,0.1341,1.8034,3,420.2,0.106813
16,7,1.8045,aggregation,85.23,7.8782,0.3516,1.8146,2,81.2,0.065651
17,5,1.8131,tsp,27.07,10.0259,0.955,1.8463,3,430.3,0.083549
18,2,1.8426,knapsack,411.41,44.1536,0.9121,1.8687,1,232.3,0.367947
19,6,1.927,sensor_data,377.63,5.3469,0.1507,1.9421,2,220.0,0.044557
20,3,1.9657,maxcut,96.38,47.5745,0.9638,1.9782,1,430.3,0.396455
21,14,2.0825,molecular_sim,229.88,29.7597,0.9955,2.1203,2,454.3,0.247998
22,14,2.1034,control_signal,151.65,2.3461,0.0763,2.1146,3,311.7,0.019551
23,9,2.2755,cnn_inference,34.23,71.4273,0.116,2.2841,3,274.6,0.595228
24,3,2.3905,image_processing,198.83,65.4746,0.018,2.4108,1,291.1,0.545622
25,11,2.4519,portfolio,10.52,28.8715,0.884,2.4639,1,463.3,0.240596
26,9,2.491,knapsack,468.42,45.3911,0.9606,2.5152,1,149.4,0.378259
27,7,2.5334,cnn_inference,58.59,39.7743,0.0615,2.5461,1,245.3,0.331453
28,2,2.5406,knapsack,37.08,44.1318,0.9165,2.5615,2,172.3,0.367765
29,6,2.5575,cnn_inference,58.92,40.2695,0.0763,2.5859,1,103.3,0.335579
30,9,2.6216,knapsack,267.77,43.8001,0.9291,2.6562,5,70.4,0.365
31,4,2.658,image_processing,405.03,39.4362,0.0385,2.6787,1,502.1,0.328635
32,7,2.7764,image_processing,296.53,78.2531,0.0517,2.7932,1,198.3,0.652109
33,12,2.8428,maxcut,185.75,15.1642,0.9755,2.8705,2,249.4,0.126368
34,9,2.8651,aggregation,231.01,23.6556,0.3466,2.8803,3,263.4,0.19713
35,7,2.9083,video_processing,195.51,55.4919,0.0074,2.9269,1,126.7,0.462433
36,10,2.9683,molecular_sim,136.14,10.3635,0.9811,3.0098,4,478.5,0.086362
37,14,3.0005,cnn_inference,202.32,63.4474,0.1107,3.0293,5,317.5,0.528728
38,0,3.0307,tsp,374.3,44.0209,0.9773,3.0415,4,279.3,0.366841
39,0,3.113,image_processing,440.59,20.3284,0.055,3.1283,2,311.1,0.169403
40,4,3.1408,knapsack,483.05,40.5461,0.8874,3.1669,5,445.3,0.337884
